	Model	Max answer length	Start top K	Mid top K	Top K	Doc top K	Nprobe	Sparse weight	Search strategy	EM_TOP1	F1_TOP1	EM_TOPK	F1_TOPK	Elapsed time
0	denspi	50	100	10	10	5	256	0.0001	hybrid	12.359550561797754	22.310203918539052	19.10112359550562	37.69823404776088	624.4050862789154
1	denspi	50	100	10	10	5	256	0.0001	dense_first	12.359550561797754	22.310203918539052	19.10112359550562	37.401901167158336	59.15133881568909
2	denspi	50	100	10	10	5	256	0.0001	sparse_first	7.865168539325842	18.763827498033418	14.606741573033707	37.56709169792465	40.18750858306885
3	denspi	50	100	10	10	5	256	0.001	hybrid	12.359550561797754	22.672908432633278	19.10112359550562	37.69823404776088	65.70102572441101
4	denspi	50	100	10	10	5	256	0.001	dense_first	12.359550561797754	22.672908432633278	19.10112359550562	37.401901167158336	62.83078074455261
5	denspi	50	100	10	10	5	256	0.001	sparse_first	7.865168539325842	18.763827498033418	14.606741573033707	37.56709169792465	41.536338090896606
6	denspi	50	100	10	10	5	256	0.01	hybrid	12.359550561797754	22.554635221515596	20.224719101123597	38.15631529235898	64.7483115196228
7	denspi	50	100	10	10	5	256	0.01	dense_first	12.359550561797754	22.554635221515596	20.224719101123597	37.83528800503956	61.01136636734009
8	denspi	50	100	10	10	5	256	0.01	sparse_first	7.865168539325842	18.763827498033418	14.606741573033707	37.56709169792465	40.32541561126709
9	denspi	50	100	10	10	5	256	0.1	hybrid	14.606741573033707	25.338932334618836	25.84269662921348	46.66319385790324	65.78656315803528
10	denspi	50	100	10	10	5	256	0.1	dense_first	12.359550561797754	20.01075565914715	21.348314606741575	40.43186839597905	60.59424662590027
11	denspi	50	100	10	10	5	256	0.1	sparse_first	8.98876404494382	19.314353547716177	14.606741573033707	37.493784076346174	43.118279695510864
12	denspi	50	100	10	10	5	256	0.5	hybrid	7.865168539325842	21.227213330092024	21.348314606741575	44.05717912016376	64.68132901191711
13	denspi	50	100	10	10	5	256	0.5	dense_first	8.98876404494382	20.25500152544562	23.59550561797753	42.717016655870275	57.336012840270996
14	denspi	50	100	10	10	5	256	0.5	sparse_first	6.741573033707865	18.33232640017535	12.359550561797754	36.84924440709958	43.57338786125183
15	denspi	50	100	10	10	5	256	1	hybrid	5.617977528089888	17.703938851761365	13.48314606741573	38.09736707095258	151.97229027748108
16	denspi	50	100	10	10	5	256	1	dense_first	6.741573033707865	18.803365820822513	23.59550561797753	42.89795031194918	152.12862491607666
17	denspi	50	100	10	10	5	256	1	sparse_first	5.617977528089888	16.726022591624353	8.98876404494382	33.96167005885108	52.02277326583862
18	denspi	50	100	10	10	5	512	0.0001	hybrid	12.359550561797754	21.765819376519982	19.10112359550562	37.323702212554885	207.9506549835205
